"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "JavaScript JSX", "MS SQL", "HTML", "CSS", "Properties", "comment", "blank", "total"
"c:\Ministerra\backend\modules\Chat\quickQueries.js", "JavaScript", 0, -276, 0, 0, 0, 0, 0, 0, 0, -28, -34, -338
"c:\Ministerra\backend\modules\Chat\seenSync.js", "JavaScript", 0, -211, 0, 0, 0, 0, 0, 0, 0, -3, -29, -243
"c:\Ministerra\backend\modules\alerts.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 4, 4, 7
"c:\Ministerra\backend\modules\chat.js", "JavaScript", 0, -200, 0, 0, 0, 0, 0, 0, 0, 19, -24, -205
"c:\Ministerra\backend\modules\chat\chatHelpers.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 0, 0, 25, 19, 180
"c:\Ministerra\backend\modules\chat\messageHandlers.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 19, 15, 104
"c:\Ministerra\backend\modules\chat\quickQueries.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 16, 18, 172
"c:\Ministerra\backend\modules\chat\seenSync.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 45, 31, 199
"c:\Ministerra\backend\modules\content.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 5, 19
"c:\Ministerra\backend\modules\devices.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 0, 16
"c:\Ministerra\backend\modules\discussion.js", "JavaScript", 0, -24, 0, 0, 0, 0, 0, 0, 0, 3, 4, -17
"c:\Ministerra\backend\modules\editor\index.js", "JavaScript", 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, -11, -49
"c:\Ministerra\backend\modules\editor\sanitize.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 0, 18
"c:\Ministerra\backend\modules\entrance.js", "JavaScript", 0, -469, 0, 0, 0, 0, 0, 0, 0, -32, -53, -554
"c:\Ministerra\backend\modules\entrance\accountActions.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 10, 72
"c:\Ministerra\backend\modules\entrance\credentials.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 16, 10, 116
"c:\Ministerra\backend\modules\entrance\index.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 25, 17, 118
"c:\Ministerra\backend\modules\entrance\login.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 19, 13, 95
"c:\Ministerra\backend\modules\entrance\register.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 23, 13, 109
"c:\Ministerra\backend\modules\entrance\verification.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 13, 7, 56
"c:\Ministerra\backend\modules\event.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 11, 5, 24
"c:\Ministerra\backend\modules\feedback.js", "JavaScript", 0, 186, 0, 0, 0, 0, 0, 0, 0, 31, 22, 239
"c:\Ministerra\backend\modules\foundation.js", "JavaScript", 0, -221, 0, 0, 0, 0, 0, 0, 0, -24, -27, -272
"c:\Ministerra\backend\modules\foundation\content.js", "JavaScript", 0, 133, 0, 0, 0, 0, 0, 0, 0, 28, 28, 189
