"filename", "language", "Ignore", "JSON with Comments", "JSON", "JavaScript", "JavaScript JSX", "HTML", "Markdown", "YAML", "CSV", "Properties", "Docker", "CSS", "XML", "MS SQL", "comment", "blank", "total"
"c:\Ministerra\FrontEnd\src\mainSections\AdvancedSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 26, 362
"c:\Ministerra\FrontEnd\src\mainSections\Editor.jsx", "JavaScript JSX", 0, 0, 0, 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 39, 602
"c:\Ministerra\FrontEnd\src\mainSections\Entrance.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Ministerra\FrontEnd\src\mainSections\Event.jsx", "JavaScript JSX", 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 24, 281
"c:\Ministerra\FrontEnd\src\mainSections\Foundation.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 103
"c:\Ministerra\FrontEnd\src\mainSections\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 39, 441
"c:\Ministerra\FrontEnd\src\mainSections\ProfileSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 124
"c:\Ministerra\FrontEnd\src\mainSections\Setup.jsx", "JavaScript JSX", 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 289
"c:\Ministerra\FrontEnd\src\utils\locationUtils.js", "JavaScript", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 151
"c:\Ministerra\FrontEnd\src\utils\userProfileUtils.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 36
"c:\Ministerra\FrontEnd\src\variables.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Ministerra\FrontEnd\vite.config.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 53
"c:\Ministerra\FrontEnd\vite.config.js.timestamp-1699023498311-16bd62249686c.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"c:\Ministerra\FrontEnd\workers\forageSetWorker.js", "JavaScript", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 176
"c:\Ministerra\package-lock.json", "JSON", 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 389
"c:\Ministerra\package.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 0, 72, 17181, 11642, 14661, 17, 1314, 925, 784, 80, 15, 5652, 2088, 1696, 2340, 3889, 62356
